=== 消失隊死前鎖點（僅印曾被記錄=曾瀕死的） ===
--- team=-1000038 死前軌跡（最近 100 筆瀕死快照） ---
    tick=50499 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50561 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50562 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50563 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50564 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50565 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50566 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50567 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50568 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50569 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50570 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50571 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50572 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50573 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50574 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50575 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50576 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50577 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50578 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50579 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50580 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50581 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50582 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50583 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50584 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50585 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50586 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50587 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50588 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50589 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50590 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50591 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50592 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50593 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50594 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50595 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50596 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50597 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50598 task=idle prio=0 reason= combat_target=5 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 21) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    ★死因分類=food-ok-vanish（food_days=0.00 足、無 stuck 徵兆＝疑 merge/combat/absorb 非餓死）（死前無 stall_exclude fire）
--- team=-1000037 死前軌跡（最近 100 筆瀕死快照） ---
    tick=49999 task=idle prio=0 reason= combat_target=103 option= food_days=0.00 pop=1 famine_days=0.0 tile=(8, 6) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50000 task=idle prio=0 reason= combat_target=103 option= food_days=0.00 pop=1 famine_days=0.0 tile=(8, 6) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
