=== 消失隊死前鎖點（僅印曾被記錄=曾瀕死的） ===
--- team=-1000014 死前軌跡（最近 241 筆瀕死快照） ---
    tick=18099 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18140 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18141 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18142 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18143 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18144 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18145 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18146 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18147 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18148 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18149 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18150 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18151 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18152 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18153 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18154 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18155 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18156 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18157 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18158 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18159 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18160 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18161 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18162 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18163 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18164 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18165 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18166 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18167 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18168 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18169 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18170 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=18171 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
