=== checkpoint start：config跑法見PERF_LADDER/PERF_TICKS env，teams=101 ===
tick=0 dt_us=73 wall_so_far=0.0s teams=101
tick=1599 dt_us=2783239 wall_so_far=1277.6s teams=165
tick=1609 dt_us=1897765 wall_so_far=1279.5s teams=164
tick=1619 dt_us=1536464 wall_so_far=1281.0s teams=164
tick=1629 dt_us=1388466 wall_so_far=1282.4s teams=163
tick=1639 dt_us=4010850 wall_so_far=1286.4s teams=164
tick=1649 dt_us=3059765 wall_so_far=1289.5s teams=163
tick=1659 dt_us=3431305 wall_so_far=1292.9s teams=163
tick=1669 dt_us=1450386 wall_so_far=1294.3s teams=163
tick=1679 dt_us=8375628 wall_so_far=1302.7s teams=163
tick=1689 dt_us=34688613 wall_so_far=1337.4s teams=167
tick=1699 dt_us=15634461 wall_so_far=1353.0s teams=168
tick=1709 dt_us=8801978 wall_so_far=1361.8s teams=169
tick=1719 dt_us=4382566 wall_so_far=1366.2s teams=169
tick=1729 dt_us=2125284 wall_so_far=1368.3s teams=169
tick=1739 dt_us=1446741 wall_so_far=1369.8s teams=170
tick=1749 dt_us=1067477 wall_so_far=1370.9s teams=170
tick=1759 dt_us=5208066 wall_so_far=1376.1s teams=170
tick=1769 dt_us=7908127 wall_so_far=1384.0s teams=170
tick=1779 dt_us=3463929 wall_so_far=1387.4s teams=170
tick=1789 dt_us=2657698 wall_so_far=1390.1s teams=170
tick=1799 dt_us=5991314 wall_so_far=1396.1s teams=169
tick=1809 dt_us=17048412 wall_so_far=1413.1s teams=170
tick=1819 dt_us=14002115 wall_so_far=1427.1s teams=170
tick=1829 dt_us=5029132 wall_so_far=1432.2s teams=170
tick=1839 dt_us=7268116 wall_so_far=1439.4s teams=170
tick=1849 dt_us=4064749 wall_so_far=1443.5s teams=172
tick=1859 dt_us=1785795 wall_so_far=1445.3s teams=172
tick=1869 dt_us=1987071 wall_so_far=1447.3s teams=172
tick=1879 dt_us=3171425 wall_so_far=1450.5s teams=172
tick=1889 dt_us=11018076 wall_so_far=1461.5s teams=172
tick=1899 dt_us=5274403 wall_so_far=1466.7s teams=172
tick=1909 dt_us=2323095 wall_so_far=1469.1s teams=173
tick=1919 dt_us=5532054 wall_so_far=1474.6s teams=171
tick=1929 dt_us=35699531 wall_so_far=1510.3s teams=175
tick=1939 dt_us=10867815 wall_so_far=1521.2s teams=175
tick=1949 dt_us=8801794 wall_so_far=1530.0s teams=175
tick=1959 dt_us=4736780 wall_so_far=1534.7s teams=175
tick=1969 dt_us=2196157 wall_so_far=1536.9s teams=175
tick=1979 dt_us=3064285 wall_so_far=1540.0s teams=176
tick=1989 dt_us=2728032 wall_so_far=1542.7s teams=176
tick=1999 dt_us=12658162 wall_so_far=1555.4s teams=179
tick=2000 dt_us=46 wall_so_far=1555.4s teams=179
tick=2009 dt_us=4907564 wall_so_far=1560.3s teams=180
tick=2019 dt_us=2810949 wall_so_far=1563.1s teams=179
tick=2029 dt_us=4949121 wall_so_far=1568.0s teams=181
tick=2039 dt_us=2696562 wall_so_far=1570.7s teams=180
tick=2049 dt_us=15987398 wall_so_far=1586.7s teams=180
tick=2059 dt_us=12437908 wall_so_far=1599.1s teams=182
tick=2069 dt_us=12783249 wall_so_far=1611.9s teams=182
tick=2079 dt_us=5408315 wall_so_far=1617.3s teams=181
tick=2089 dt_us=8229483 wall_so_far=1625.6s teams=181
tick=2099 dt_us=7923082 wall_so_far=1633.5s teams=181
tick=2109 dt_us=2960545 wall_so_far=1636.5s teams=181
tick=2119 dt_us=4993602 wall_so_far=1641.4s teams=183
tick=2129 dt_us=5815619 wall_so_far=1647.3s teams=183
