=== 消失隊死前鎖點（僅印曾被記錄=曾瀕死的） ===
--- team=-1000030 死前軌跡（最近 100 筆瀕死快照） ---
    tick=54452 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54453 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54454 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54455 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54456 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54457 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54458 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54459 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54460 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54461 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54462 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54463 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54464 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54465 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54466 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54467 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54468 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
