=== 消失隊死前鎖點（僅印曾被記錄=曾瀕死的） ===
--- team=-1000034 死前軌跡（最近 100 筆瀕死快照） ---
    tick=56799 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56878 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56879 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56880 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56881 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56882 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56883 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56884 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56885 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56886 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56887 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56888 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56889 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56890 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56891 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
