=== 消失隊死前鎖點（僅印曾被記錄=曾瀕死的） ===
--- team=-1000027 死前軌跡（最近 100 筆瀕死快照） ---
    tick=50799 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50880 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50881 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50882 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50883 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50884 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50885 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50886 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50887 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50888 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50889 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
